Round 001/100 | clients=2 | val_loss=1.272207 | val_id=0.7302 | val_temp=0.9499 | time=4.21s
Round 002/100 | clients=2 | val_loss=1.275567 | val_id=0.7286 | val_temp=0.9493 | time=0.26s
Round 003/100 | clients=2 | val_loss=1.259965 | val_id=0.7299 | val_temp=0.9540 | time=0.17s
Round 004/100 | clients=2 | val_loss=1.266735 | val_id=0.7300 | val_temp=0.9542 | time=0.26s
Round 005/100 | clients=2 | val_loss=1.239340 | val_id=0.7333 | val_temp=0.9698 | time=0.20s
Round 006/100 | clients=2 | val_loss=1.266236 | val_id=0.7306 | val_temp=0.9545 | time=0.18s
Round 007/100 | clients=2 | val_loss=1.267867 | val_id=0.7283 | val_temp=0.9533 | time=0.18s
Round 008/100 | clients=2 | val_loss=1.263105 | val_id=0.7314 | val_temp=0.9577 | time=0.16s
Round 009/100 | clients=2 | val_loss=1.281402 | val_id=0.7271 | val_temp=0.9426 | time=0.16s
Round 010/100 | clients=2 | val_loss=1.253443 | val_id=0.7319 | val_temp=0.9611 | time=0.17s
Round 011/100 | clients=2 | val_loss=1.260857 | val_id=0.7303 | val_temp=0.9571 | time=0.16s
Round 012/100 | clients=2 | val_loss=1.255552 | val_id=0.7318 | val_temp=0.9598 | time=0.21s
Round 013/100 | clients=2 | val_loss=1.269088 | val_id=0.7280 | val_temp=0.9512 | time=0.18s
Round 014/100 | clients=2 | val_loss=1.253322 | val_id=0.7327 | val_temp=0.9644 | time=0.31s
Round 015/100 | clients=2 | val_loss=1.288219 | val_id=0.7262 | val_temp=0.9389 | time=0.27s
Round 016/100 | clients=2 | val_loss=1.274046 | val_id=0.7300 | val_temp=0.9530 | time=0.11s
Round 017/100 | clients=2 | val_loss=1.266328 | val_id=0.7291 | val_temp=0.9528 | time=0.34s
Round 018/100 | clients=2 | val_loss=1.268714 | val_id=0.7308 | val_temp=0.9561 | time=0.14s
Round 019/100 | clients=2 | val_loss=1.270054 | val_id=0.7308 | val_temp=0.9533 | time=0.16s
Round 020/100 | clients=2 | val_loss=1.258097 | val_id=0.7316 | val_temp=0.9591 | time=0.24s
Round 021/100 | clients=2 | val_loss=1.260672 | val_id=0.7322 | val_temp=0.9614 | time=0.17s
Round 022/100 | clients=2 | val_loss=1.248115 | val_id=0.7324 | val_temp=0.9659 | time=0.16s
Round 023/100 | clients=2 | val_loss=1.257815 | val_id=0.7299 | val_temp=0.9585 | time=0.14s
Round 024/100 | clients=2 | val_loss=1.287593 | val_id=0.7274 | val_temp=0.9391 | time=0.25s
Round 025/100 | clients=2 | val_loss=1.275609 | val_id=0.7287 | val_temp=0.9468 | time=0.13s
Round 026/100 | clients=2 | val_loss=1.262438 | val_id=0.7319 | val_temp=0.9578 | time=0.19s
Round 027/100 | clients=2 | val_loss=1.259796 | val_id=0.7303 | val_temp=0.9582 | time=0.14s
Round 028/100 | clients=2 | val_loss=1.296558 | val_id=0.7242 | val_temp=0.9300 | time=0.18s
Round 029/100 | clients=2 | val_loss=1.257304 | val_id=0.7321 | val_temp=0.9598 | time=0.17s
Round 030/100 | clients=2 | val_loss=1.258188 | val_id=0.7314 | val_temp=0.9594 | time=0.12s
